1;Logistics - Ναυτιλία;
2;Αθλητισμός;
3;Βιοεπιστήμες;
4;Γεωπονία- Επιστήμες γης;5
5;Γεωπονία- Επιστήμες Γης-Πρωτογενής Παραγωγή ;
6;Διεθνείς Σπουδές - Κοινωνικές Επιστήμες;
7;Διεθνείς Σπουδές και Κοινωνικές Επιστήμες;6
8;Διοίκηση Επιχειρήσεων - Ανθρωπίνων Πόρων ;
9;Διοίκηση Επιχειρήσεων - Ανθρωπίνων Πόρων - Οργανισμών ;8
10;Ειδική Αγωγή;
11;ΕΚΠΑΙΔΕΥΣΗ- ΠΑΙΔΑΓΩΓΙΚΑ;
12;Ένοπλες Δυνάμεις;
13;Επικοινωνία και Δημόσιες Σχέσεις;
14;Ηλεκτρολογία - Ηλεκτρονική ;
15;Θρησκεία - Θεολογία;
16;Ιατρικές Επιστήμες - Επιστήμες Υγείας;
17;Ιστορία- Αρχαιολογία;
18;Καλές και Εφαρμοσμένες Τέχνες;20
19;Καλλιτεχνικά-  Εφαρμοσμένες Τέχνες;20
20;Καλλιτεχνικά Επαγγέλματα- Εφαρμοσμένες Τέχνες;
21;Κατασκευές - Δομικά Έργα;22
22;Κατασκευές- Δομικά Έργα;
23;Κτηνοτροφία - Αλιεία;24
24;Κτηνοτροφία- Αλιεία;
25;Λογιστική - Χρηματοοικονομική ;
26;Μαθηματικά;
27;Μαθηματικές Επιστημες;28
28;Μαθηματικές Επιστήμες;
29;Μηχανολογία;
30;Νομικές και Πολιτικές Επιστήμες;
31;Οικονομικά;
32;Παιδαγωγικά;
33;Περιβάλλον - Ενέργεια;
34;Πληροφορική;
35;Τουριστικά;
36;Τρόφιμα- Ποτά;
37;Υγειονομική Μέριμνα - Περίθαλψη;
38;Φιλολογίες;
39;Φυσικές Επιστήμες;
40;Φυσική;
41;Χημεία;
42;Ψυχολογία-Κοινωνική Πρόνοια;
