1;Άγιος Νικόλαος;
2;Αγίου Νικόλαος (Κρήτης);1
3;Αγρίνιο;
4;Αθήνα;
5;Αίγιο;
6;Αλεξανδρούπολη;
7;Αμαλιάδα;
8;Άμφισσα;
9;Ανατ. Μακεδονία;
10;Αργοστόλι;
11;Άρτα;
12;Βελλάς Ιωαννίνων;
13;Βόλος;
14;Γρεβενά;
15;Διδυμότειχο;
16;Δράμα;
17;Δυτ. Μακεδονία;
18;Ζάκυνθος;
19;Ηγουμενίτσα;
20;Ηράκλειο;
21;Θεσσαλονίκη;
22;Θήβα;
23;Θράκη;
24;Ιωάννινα;
25;Καβάλα;
26;Καλαμάτα;
27;Καρδίτσα;
28;Καστοριά;
29;Κατερίνη;
30;Κέρκυρα;
31;Κιλκίς;
32;Κοζάνη;
33;Κομοτηνή;
34;Κόρινθος;
35;Λαμία;
36;Λάρισα;
37;Λευκάδα;
38;Λήμνος;
39;Ληξούρι;
40;Μεσολόγγι;
41;Μυτιλήνη;
42;Ναύπακτος;
43;Ναύπλιο;
44;Ξάνθη;
45;Ορεστιάδα;
46;Πάτρα;
47;Πειραιά;48
48;Πειραιάς;
49;Πρέβεζα;
50;Πτολεμαΐδα;
51;Πύργος;
52;Ρεθύμνο;
53;Ρόδος;
54;Σάμος;
55;Σέρρες;
56;Σητεία;
57;Σπάρτη;
58;Στερεά Ελλάδα;
59;Σύρος;
60;Τρίκαλα;
61;Τρίπολη;
62;Φλώρινα;
63;Χαλκίδα;
64;Χανιά;
65;Χίος;
